SubDepartment_Id	UI_SubDepartment_Name	Department_Id	Department_Name	Specialities
705796	Mole-Removal	705458	Aesthetic	Dermataology|Medical Cosmetology|Hair Transplant & Dermataology|Plastic Surgery
705797	Mouth cancer	705447	Oncology	
705798	Musculoskeletal Injuries	705446	Orthopaedic	
705799	Oral Cancer	705447	Oncology	
705800	Ovarian cancer	705447	Oncology	
705801	Peptic ulcers	705459	General Surgery	
705802	Pilonidal Sinus	705459	General Surgery	
705803	Pilonidal-Sinus	705460	Proctology	
705804	Platelet-rich plasma	705458	Aesthetic	Dermataology|Medical Cosmetology|Hair Transplant & Dermataology
705805	Rhinoplasty	705458	Aesthetic	Plastic Surgery|ENT
705806	Rotator cuff tear	705446	Orthopaedic	
705807	Shoulder-Injuries	705446	Orthopaedic	
705808	Sphincteroplasty	705460	Proctology	
705809	Stomach cancer	705447	Oncology	
705810	Tendon injuries	705446	Orthopaedic	
705811	Testis	705452	Urology	
705812	Hip-Replacement	705446	Orthopaedic	
705813	Transplant Surgery	705463	Transplant Surgery	General Surgery|Urology|Nephrology
705814	Trigger finger	705446	Orthopaedic	
705815	Varicocele	705452	Urology	
705816	Vasectomy	705452	Urology	
705817	Viral Fever/Flu	705457	General Medicine	General Medicine|Internal Medicine|AyurVaid General Medicine
711759	Phimosis	705452	Urology	
715630	Circumcision & Frenuloplasty	705459	General Surgery	
